Date,CCI Value,CCI Rolling Mean,CCI Rolling Percent Change,CPI Value,CPI Rolling Mean,CPI Rolling Percent Change,Unemployment Rate (%),Unemployment Rate (%) Rolling Mean,Unemployment Rate Rolling Percent Change,CCI Rolling Percent Change Flag,CPI Rolling Percent Change Flag,Unemployment Rate Rolling Percent Change Flag,Economic Climate
1983-02-01,98.81713,97.98727000000001,-0.19057334188490316,98.0,97.10000000000001,5.4384218622749225,10.0,9.041666666666666,18.70897155361049,negative,positive,positive,Lean to Bad
1983-03-01,99.47427,98.15031833333335,0.014511312960663325,98.1,97.38333333333333,5.165586753059737,10.1,9.208333333333334,20.2393906420022,positive,positive,positive,Lean to Bad
1983-04-01,100.1799,98.36908416666667,0.3004188824578202,98.8,97.69999999999999,4.950317787127356,10.2,9.375,21.62162162162162,positive,positive,positive,Lean to Bad
1983-05-01,100.6506,98.62138083333333,0.6389391268204481,99.2,97.97500000000001,4.664826849461412,10.3,9.533333333333333,22.615219721329026,positive,positive,positive,Lean to Bad
1983-06-01,100.7997,98.8865025,0.9996990022850261,99.4,98.17500000000001,4.275092936802993,10.3,9.674999999999999,23.11770943796394,positive,positive,positive,Lean to Bad
1983-07-01,100.7635,99.14716583333335,1.359794397135916,99.8,98.36666666666667,3.926747666842778,10.3,9.8,23.01255230125525,positive,positive,positive,Lean to Bad
1983-08-01,100.6219,99.38550499999998,1.6845650525834754,100.1,98.56666666666666,3.636204328397441,10.3,9.916666666666666,22.680412371134008,positive,positive,positive,Lean to Bad
1983-09-01,100.5053,99.5923775,1.9317954498742296,100.4,98.79166666666667,3.455798935334675,10.2,10.008333333333335,21.805273833671414,positive,positive,positive,Lean to Bad
1983-10-01,100.5121,99.78031583333335,2.1049642293083703,100.8,99.01666666666667,3.2678602468277473,10.0,10.066666666666668,20.318725099601597,positive,positive,positive,Lean to Bad
1983-11-01,100.7065,99.97961750000002,2.2531358779566357,101.1,99.27499999999999,3.1607204710772274,9.8,10.091666666666667,18.37732160312806,positive,positive,positive,Lean to Bad
1983-12-01,101.0412,100.20709166666667,2.4262293305780114,101.4,99.58333333333333,3.1595303867403057,9.6,10.083333333333334,16.011505273250258,positive,positive,positive,Lean to Bad
1984-01-01,101.3756,100.45397500000001,2.619411335727273,102.1,99.93333333333332,3.210259058438747,9.4,10.041666666666666,13.251879699248104,positive,positive,positive,Lean to Bad
1984-02-01,101.5079,100.67820583333332,2.746209618181328,102.6,100.31666666666666,3.312736010985229,9.2,9.975,10.322580645161295,positive,positive,positive,Lean to Bad
1984-03-01,101.5376,100.85015,2.750711064937783,102.9,100.71666666666665,3.4228991956186894,9.0,9.883333333333335,7.330316742081444,positive,positive,positive,Lean to Bad
1984-04-01,101.4151,100.95308333333332,2.626840728016333,103.3,101.09166666666668,3.471511429546248,8.7,9.758333333333333,4.088888888888875,positive,positive,positive,Lean to Bad
1984-05-01,101.3366,101.01025,2.422262947933951,103.5,101.45,3.5468231691758056,8.5,9.608333333333334,0.786713286713292,positive,positive,positive,Lean to Bad
1984-06-01,101.2879,101.05093333333333,2.1888031011444875,103.7,101.80833333333332,3.700874289109568,8.3,9.441666666666666,-2.4117140396210046,positive,positive,negative,Comfortable to Good
1984-07-01,101.3591,101.10056666666667,1.9702034010906422,104.1,102.16666666666667,3.8630972551677356,8.2,9.266666666666666,-5.442176870748316,positive,positive,negative,Comfortable to Good
1984-08-01,101.486,101.17257500000001,1.7981193535214546,104.4,102.52499999999999,4.015894487656402,8.0,9.075000000000001,-8.487394957983174,positive,positive,negative,Comfortable to Good
1984-09-01,101.5086,101.25618333333334,1.6706156385646542,104.7,102.88333333333333,4.141712357654992,7.9,8.883333333333333,-11.240632805995022,positive,positive,negative,Comfortable to Good
1984-10-01,101.3406,101.32522499999999,1.5483105598173896,105.1,103.24166666666667,4.266958424507661,7.8,8.7,-13.576158940397375,positive,positive,negative,Comfortable to Good
1984-11-01,101.1586,101.36289999999998,1.3835645050352063,105.3,103.59166666666668,4.348191051792183,7.7,8.525,-15.524360033030549,positive,positive,negative,Comfortable to Good
1984-12-01,101.0269,101.36170833333334,1.152230493334172,105.5,103.93333333333334,4.368200836820102,7.6,8.358333333333334,-17.10743801652892,positive,positive,negative,Comfortable to Good
1985-01-01,101.0086,101.331125,0.8731859540650255,105.7,104.23333333333335,4.302868579052732,7.5,8.200000000000001,-18.34024896265558,positive,positive,negative,Comfortable to Good
1985-02-01,100.9657,101.28594166666666,0.603641898763474,106.3,104.54166666666667,4.211663066954663,7.4,8.049999999999999,-19.298245614035093,positive,positive,negative,Comfortable to Good
